INFO  2023-12-20 14:38:15,503  Title       : Calculate Present and Future Value of Amount - Invest Wisely with HDFC Mutual Fund
INFO  2023-12-20 14:38:15,503  Description : Now calculate the present value of an amount for the future at a specified rate of return efficiently. It helps you to know the time value of money so that you can receive maximum mutual fund returns on your investment.

INFO  2023-12-20 14:38:15,503  Category    : 
INFO  2023-12-20 14:38:15,503  Subcategory : 
INFO  2023-12-20 14:38:15,514  The url https://www.hdfcfund.com/learners-corner/present-value completed
INFO  2023-12-20 14:38:15,514  
INFO  2023-12-20 14:38:15,540  The url : https://www.hdfcfund.com/learners-corner/cost-of-child-education started....
INFO  2023-12-20 14:38:16,574  Browser listening on: ws://127.0.0.1:57150/devtools/browser/9d11d2a5-f419-490f-b1cf-08bb17098f60
INFO  2023-12-20 14:38:19,656  Title       : Calculate Cost of Child Education - Saving for Childs Education with Mutual Funds- HDFC Mutual Fund
INFO  2023-12-20 14:38:19,656  Description : Use HDFCMF 
INFO  2023-12-20 14:38:19,656  Category    : 
INFO  2023-12-20 14:38:19,656  Subcategory : 
INFO  2023-12-20 14:38:19,672  The url https://www.hdfcfund.com/learners-corner/cost-of-child-education completed
INFO  2023-12-20 14:38:19,672  
INFO  2023-12-20 14:38:19,706  The url : https://www.hdfcfund.com/contact-us/investor-relationship-officer started....
INFO  2023-12-20 14:38:21,277  Browser listening on: ws://127.0.0.1:57201/devtools/browser/60a264a3-e4ce-4c98-b86d-16d075222e12
INFO  2023-12-20 14:38:23,841  Title       : Contact Us - Investor Relations Officer - HDFC Mutual Fund
INFO  2023-12-20 14:38:23,842  Description : Dear Investor know your Investor Relations Officer and Grievance Redressal Officer and Connect with them for any kind of support.

INFO  2023-12-20 14:38:23,842  Category    : 
INFO  2023-12-20 14:38:23,842  Subcategory : 
INFO  2023-12-20 14:38:23,854  The url https://www.hdfcfund.com/contact-us/investor-relationship-officer completed
INFO  2023-12-20 14:38:23,854  
INFO  2023-12-20 14:38:23,880  The url : https://www.hdfcfund.com/product-solutions/duration-based-debt started....
INFO  2023-12-20 14:38:26,515  Browser listening on: ws://127.0.0.1:57248/devtools/browser/3f05701e-dd80-4da1-8b76-fafd66930350
